datetime,open,high,low,close,volume
2022-01-13,151.48,157.75,145.47,146.1,7015263.0
2022-01-14,146.09,150.57,141.91,146.13,5014028.0
2022-01-15,146.13,149.48,143.8,147.57,2945950.0
2022-01-16,147.57,151.93,146.03,147.92,3500835.0
2022-01-17,147.93,148.22,137.0,139.74,4260608.0
2022-01-18,139.74,142.62,134.24,141.19,3927335.0
2022-01-19,141.21,142.66,132.7,135.21,4343040.0
2022-01-20,135.2,143.78,125.78,127.45,5509213.0
2022-01-21,127.45,128.7,106.02,112.2,15977832.0
2022-01-22,112.21,114.13,87.47,94.46,21844520.0
2022-01-23,94.48,104.62,93.15,99.67,12475823.0
2022-01-24,99.66,99.81,80.7,91.85,26854930.0
2022-01-25,91.85,99.85,87.39,94.54,13422811.0
2022-01-26,94.57,104.45,89.11,92.06,15616966.0
2022-01-27,92.04,94.63,85.6,89.43,15044776.0
2022-01-28,89.43,93.48,87.1,91.29,11397177.0
2022-01-29,91.29,98.88,90.4,96.11,8792459.0
2022-01-30,96.08,97.64,91.31,93.15,5528616.0
2022-01-31,93.16,101.29,89.15,99.48,9829327.0
2022-02-01,99.47,113.61,98.99,109.97,19495966.0
2022-02-02,109.95,112.39,96.96,101.84,22052102.0
2022-02-03,101.83,103.09,93.9,101.76,18935284.0
2022-02-04,101.74,112.81,100.17,112.57,17172692.0
2022-02-05,112.56,118.54,110.14,113.66,10160083.0
2022-02-06,113.66,116.06,111.11,115.18,6064084.0
2022-02-07,115.2,121.88,112.62,117.46,9622532.0
2022-02-08,117.48,120.23,109.51,113.37,9758813.0
2022-02-09,113.36,117.0,109.25,113.9,6993432.0
2022-02-10,113.9,114.85,105.55,106.09,10191733.0
2022-02-11,106.1,108.09,95.0,96.44,10026342.0
2022-02-12,96.45,99.74,92.52,95.88,7912380.0
2022-02-13,95.88,97.32,91.24,92.8,4953187.0
2022-02-14,92.79,97.92,90.49,96.37,9107385.0
2022-02-15,96.36,105.77,96.32,105.44,8726286.0
2022-02-16,105.46,105.56,98.11,101.78,8084251.0
2022-02-17,101.81,102.78,92.25,93.46,8221293.0
2022-02-18,93.49,96.33,89.24,89.82,7250331.0
2022-02-19,89.82,92.7,88.51,91.25,5417520.0
2022-02-20,91.25,93.92,85.39,90.63,12851703.0
2022-02-21,90.63,96.13,82.61,82.89,19858064.0
2022-02-22,82.89,87.6,80.96,86.34,12205064.0
2022-02-23,86.34,93.35,84.3,84.53,13646371.0
