datetime,open,high,low,close,volume
2024-05-09,33.994,35.364,33.711,35.043,5419782.0
2024-05-10,35.043,36.099,33.209,33.698,7432293.0
2024-05-11,33.699,34.041,33.026,33.482,4147716.0
2024-05-12,33.482,34.008,32.763,33.114,3285242.0
2024-05-13,33.114,33.805,31.9,32.443,7348389.0
2024-05-14,32.443,33.335,31.463,31.572,6989136.0
2024-05-15,31.572,34.787,31.333,34.658,7417778.0
2024-05-16,34.657,35.011,33.722,34.449,5430937.0
2024-05-17,34.449,37.59,34.248,36.41,7783872.0
2024-05-18,36.41,37.64,36.324,37.222,5149697.0
2024-05-19,37.222,37.741,35.347,35.58,5064740.0
2024-05-20,35.578,40.29,35.121,40.12,9647127.0
2024-05-21,40.119,41.435,39.639,41.224,10083277.0
2024-05-22,41.223,41.843,39.2,40.037,7644166.0
2024-05-23,40.037,40.504,36.0,38.524,10581808.0
2024-05-24,38.523,39.012,36.873,38.014,5416627.0
2024-05-25,38.013,38.725,37.709,38.289,2960160.0
2024-05-26,38.289,38.314,36.465,36.76,3760719.0
2024-05-27,36.76,38.988,36.657,38.286,4962501.0
2024-05-28,38.286,38.442,36.541,37.047,6228532.0
2024-05-29,37.046,37.529,36.15,36.208,5427007.0
2024-05-30,36.211,37.12,35.315,35.995,6040357.0
2024-05-31,35.995,36.819,35.219,36.05,4607773.0
2024-06-01,36.049,36.261,35.71,35.781,2361592.0
2024-06-02,35.781,36.22,34.778,34.937,4434608.0
2024-06-03,34.936,36.303,34.575,35.048,5835065.0
2024-06-04,35.049,36.31,34.45,36.095,5418668.0
2024-06-05,36.096,36.937,35.95,36.597,4542001.0
2024-06-06,36.597,37.237,35.725,35.917,4229936.0
2024-06-07,35.917,36.928,30.7,33.515,10876771.0
2024-06-08,33.515,33.73,31.916,32.262,4715828.0
2024-06-09,32.263,33.01,32.023,32.977,2827194.0
2024-06-10,32.977,33.467,32.01,32.279,5212925.0
2024-06-11,32.279,32.389,30.586,31.546,7818513.0
2024-06-12,31.546,34.0,30.787,33.279,7892074.0
2024-06-13,33.278,33.451,30.902,30.994,6682441.0
2024-06-14,30.995,32.238,29.272,30.275,8978331.0
2024-06-15,30.275,30.635,29.893,29.994,3453794.0
2024-06-16,29.994,30.467,29.654,30.06,4657598.0
2024-06-17,30.061,30.335,27.127,28.45,9975875.0
2024-06-18,28.45,28.541,24.5,26.582,14359986.0
2024-06-19,26.585,27.654,26.375,26.927,6113880.0
2024-06-20,26.928,28.87,26.66,27.57,8645667.0
2024-06-21,27.571,28.016,26.915,27.47,6948550.0
2024-06-22,27.47,27.498,24.509,25.603,14956809.0
2024-06-23,25.603,26.0,24.1,25.069,13529628.0
2024-06-24,25.069,25.241,23.436,24.768,15163288.0
2024-06-25,24.778,25.775,24.594,25.391,6966005.0
2024-06-26,25.39,26.643,25.267,25.807,10785697.0
2024-06-27,25.808,28.363,25.339,27.904,11539547.0
2024-06-28,27.905,29.09,27.655,27.957,10852495.0
2024-06-29,27.956,28.662,27.558,27.758,5557324.0
2024-06-30,27.759,29.568,27.39,29.356,7878374.0
2024-07-01,29.357,30.124,28.809,28.825,8915298.0
2024-07-02,28.825,28.908,28.076,28.699,7426904.0
2024-07-03,28.699,28.965,26.418,26.494,10236799.0
2024-07-04,26.495,26.685,24.267,24.431,10395998.0
2024-07-05,24.43,25.422,21.768,25.118,20060732.0
2024-07-06,25.12,27.602,24.846,27.388,7673807.0
2024-07-07,27.388,27.479,25.446,25.736,6471568.0
2024-07-08,25.736,27.206,24.523,25.188,11127297.0
2024-07-09,25.189,26.494,24.677,26.425,9012896.0
2024-07-10,26.425,27.416,25.608,25.74,6681376.0
2024-07-11,25.74,26.358,24.99,25.184,8058822.0
2024-07-12,25.185,26.08,24.801,25.954,6467400.0
2024-07-13,25.955,26.327,25.508,25.833,6430188.0
2024-07-14,25.837,26.662,25.567,26.332,6911221.0
2024-07-15,26.331,27.873,26.247,27.819,9096458.0
2024-07-16,27.819,29.241,26.436,27.995,12726735.0
2024-07-17,27.994,29.006,27.197,27.223,8806497.0
2024-07-18,27.225,27.924,26.548,27.118,6450138.0
2024-07-19,27.119,28.403,26.605,28.148,7507793.0
2024-07-20,28.148,29.173,27.735,29.093,5677693.0
2024-07-21,29.094,32.999,28.526,32.628,18295916.0
2024-07-22,32.628,32.95,31.3,31.859,12716733.0
